일          본,,,월계," 11,084 "," 7,768 ",42.7 ,
,,,누계," 54,038 "," 33,803 ",59.9 ,
중          국,,,월계," 78,485 "," 38,560 ",103.5 ,
,,,누계," 401,385 "," 625,008 ",-35.8 ,
홍          콩,,,월계," 6,192 "," 5,247 ",18.0 ,
,,,누계," 31,658 "," 37,099 ",-14.7 ,
대          만,,,월계," 6,354 "," 3,711 ",71.2 ,
,,,누계," 30,222 "," 18,538 ",63.0 ,
싱    가    폴,,,월계," 1,828 "," 1,147 ",59.4 ,
,,,누계," 18,284 "," 26,928 ",-32.1 ,
말 레 이 시 아,,,월계," 3,971 "," 1,356 ",192.8 ,
,,,누계," 42,604 "," 40,008 ",6.5 ,
인 도 네 시 아,,,월계," 1,815 "," 1,043 ",74.0 ,
,,,누계," 14,820 "," 17,489 ",-15.3 ,
베    트    남,,,월계," 3,633 "," 1,490 ",143.8 ,
,,,누계," 19,533 "," 17,096 ",14.3 ,
태          국,,,월계," 1,760 ", 920 ,91.3 ,
,,,누계," 31,943 "," 16,746 ",90.8 ,
기          타,,,월계," 4,297 "," 4,666 ",-7.9 ,
,,,누계," 25,690 "," 32,731 ",-21.5 ,
미          국,,,월계," 3,046 "," 2,534 ",20.2 ,
,,,누계," 16,138 "," 25,175 ",-35.9 ,
기          타,,,월계," 9,307 "," 9,938 ",-6.3 ,
,,,누계," 48,168 "," 84,656 ",-43.1 ,
